name,description,modality,fecult_event,initial_date,participants,commission,id_point,deleted,created,created_by,updated,updated_by
Dança de salão,"Forme uma dupla, dance duas das seguintes danças: Chote, Milonga, Chamamé, Rancheira, Valsa, Marzuca, ou Bugio, em dois minutos cada, e conquiste a maior pontuação para vencer!",Padrão,FALSE,2024-11-15 13:30:00,2,TRUE,1,FALSE,NOW(),29,,
Revezamento do mate,"Forme uma equipe de quatro (dois peões e duas prendas), ceve, tome e passe o mate em revezamento. A equipe que completar a prova no menor tempo vence!",Padrão,FALSE,2024-11-15 13:30:00,4,FALSE,2,FALSE,NOW(),29,,
Triatlo campeiro,"Forme uma equipe de seis (três peões e três prendas) e complete as três etapas: nó de lenço, corrida do saco e debulhar milho. A equipe que finalizar todas as etapas primeiro vence!",Padrão,FALSE,2024-11-15 14:30:00,6,FALSE,3,FALSE,NOW(),29,,
Tetarfe,"Participe em duplas (um peão e uma prenda) e acumule pontos em lançamentos seguindo o Regulamento de Esportes Campeiros do MTG. Vence a equipe com a maior pontuação total. Em caso de empate, será considerado o maior desempenho em argola, ferradura e tava, nessa ordem.",Padrão,FALSE,2024-11-15 13:30:00,2,FALSE,4,FALSE,NOW(),29,,
Tiro de laço vaca parada,"Forme uma dupla, laçe as aspas da vaca parada a 8 metros (homens) ou 2 metros (mulheres) em três tentativas, e vença acertando mais laçadas válidas.","Masculino, Feminino e Patrão/Patroa",FALSE,2024-11-16 08:00:00,2,FALSE,5,FALSE,NOW(),29,,
Pescaria gaúcha,"Forme uma dupla com um peão e uma prenda, monte sua vara de pescar, busque sua isca e pesque o peixe mais pesado para vencer!",Padrão,FALSE,2024-11-16 08:00:00,2,FALSE,6,FALSE,NOW(),29,,
Truco,"Forme uma equipe de três e participe das partidas eliminatórias de Truco Gaudério. A competição segue o Regulamento de Esportes Campeiros do MTG, com formato 'melhor de três partidas'. A equipe vencedora será a campeã!",Masculino e Feminino,FALSE,2024-11-16 08:00:00,3,FALSE,7,FALSE,NOW(),29,,
Arroz Carreteiro,"Forme uma equipe (um peão e uma prenda) e prepare arroz carreteiro para 40 pessoas. Os ingredientes e utensílios serão fornecidos, mas os temperos são de sua escolha para destacar sua identidade regional.",Padrão,FALSE,2024-11-16 09:00:00,2,TRUE,8,FALSE,NOW(),29,,
Artilharia gaúcha,"Forme uma equipe de quatro (dois peões e duas prendas) e arremesse pedras com um bodoque para atingir os alvos. Cada acerto vale um ponto e a equipe com mais pontos vence. Em caso de empate, cada participante terá mais um disparo. Traga seu bodoque tradicional!",Padrão,FALSE,2024-11-16 13:30:00,4,FALSE,9,FALSE,NOW(),29,,
Cabo de guerra,Forme uma equipe de sete (mínimo de duas prendas) e participe do cabo de guerra com uma corda de 14 metros. Puxe a corda para seu lado e faça com que pelo menos um adversário ultrapasse a marca no chão. A equipe vencedora será a campeã!,Padrão,FALSE,2024-11-16 14:30:00,7,FALSE,10,FALSE,NOW(),29,,
Bocha campeira,"Forme uma equipe de três (dois peões e uma prenda) e jogue bocha campeira seguindo o Regulamento de Esportes Campeiros do MTG. As partidas são disputadas em duas passadas, com uma passada extra em caso de empate. A equipe com mais pontos vence!",Padrão,FALSE,2024-11-16 13:30:00,3,FALSE,11,FALSE,NOW(),29,,
Prova dos coordenadores,???,Coordenadores,FALSE,2024-11-16 08:00:00,2,FALSE,12,FALSE,NOW(),29,,
Música inédita,"Apresente uma canção inédita. A avaliação será baseada em: I - Indumentária (observando as normas do Movimento Tradicionalista Gaúcho); II - Interpretação (postura cênica e presença de palco); III - Fidelidade à letra da música; IV - Ritmo e afinação.",FECULT,TRUE,2024-11-15 19:00:00,0,TRUE,15,FALSE,NOW(),29,,
Música conhecida,"Cante uma música já consagrada, escolhida previamente, e conquiste o público com sua interpretação. A avaliação será baseada em: I - Indumentária (observando as normas do Movimento Tradicionalista Gaúcho); II - Interpretação (postura cênica e presença de palco); III - Fidelidade à letra da música; IV - Ritmo e afinação.",FECULT,TRUE,2024-11-15 19:00:00,0,TRUE,15,FALSE,NOW(),29,,
Declamação,"Recite um poema ou um texto de sua escolha, expressando emoção e interpretação. A avaliação será baseada em: I - Indumentária (observando as normas do Movimento Tradicionalista Gaúcho); II - Fundamentos da voz (impostação, dicção e inflexão); III - Expressão corporal (facial, gestual e postura cênica); IV - Interpretação da mensagem; V - Fidelidade ao texto.",FECULT,TRUE,2024-11-15 19:00:00,0,TRUE,15,FALSE,NOW(),29,,
